Title,Description,Location,Price
Chicken Cage That Contain 120birds 19weeks Layers,"Calcium hypochlorite (Chlorine powder)70% 45kg drum, for water purification, disinfectant, swimming...","Abuja, Central Business District",5000
Cultivation Hole,Pellet dies for animal feed pellet machine,"Lagos, Lagos Island (Eko)",37000
100kg Floating Extruder Machine,The machine is good and common to maintain it for the production and also iron body,"Lagos, Isolo",127500
Egg Incubator 1056 Capacity,3-5 birds defeathering machine,"Osun, Osogbo",4650000
Sukkari Date ( Sukari Date ),2in1 Double Suction Dise Hammer Crusher  *It sucks grains automatically without stress  *500kg per...,"Abuja, Central Business District",5400
Turkey Wings Medium Size Best Price in Carton or Kilo,Quality hydraulic cylinder jack with electric pump.,"Lagos, Lagos Island (Eko)",6500
"Ph Water Tester Liquid Reagent (Normal,Acidic/Alkaline Level",Used for clearing of grasses and also for weeding in the farmland,"Lagos, Lagos Island (Eko)",46000
Polar Tomato Paste (Double Concentrated) 24x400g,1.5 inch Coupled Venturi Fertigator,"Lagos, Ojo",180000
Manual Juice Squeezer Portable Aluminum Alloy Hand Pressure,Dates are a sweet and nutritious fruit that grow on date palm trees and are available in various...,"Abuja, Wuse 2",21000
Ayo Ola Poundo Yam Available,"New design battery cage for poultry famers, this cage is being design with strong Ridgity, no...","Lagos, Lekki",13500
Sniper Chemical,"BENEFITS OF KHAL  Khal Water Providers Cure For Various, Diseases Sa Hypertension, Gingivitis, Sore...","Lagos, Lagos Island (Eko)",75000
Cardamom Puds 50g,Poultry water foggers,"Lagos, Lagos Island (Eko)",23000
3in1 Knapsack Solar Sprayer,"Amarula is a cream liqueur from South Africa. It is made with sugar, cream and the fruit of the...","Lagos, Lagos Island (Eko)",2200
Flour Miller (Milling Machine),Call or WhatsApp for more info091*********,"Lagos, Lekki",3700
Quality Power Tiller .(Rotary Cultivator),Herbicide chemicals  Used to manipulate or control undesirable vegetation,"Lagos, Ojo",8000
Zam Zam Water ( Holy Water ),Chicken Drumsticks  comes in 5KG Packed very fresh and yummy,"Lagos, Lagos Island (Eko)",17000
4 Stroke Motorised Knapsack Sprayer,#effective for curing urinary tract infection  #it increases size and proper lactation in nursing...,"Lagos, Ojo",290000
50kg Flower Sack,Full and complete set of diesel grinding engine. availablebin our various locations. lokoja and...,"Lagos, Ojo",427500
"Chain Saw Machine, Original","Hydrogen peroxide, a chemical that appears colourless liquid, used in wide range of cleaning and...","Lagos, Lekki",16000
Properly Cleaned Shrimps 500grm,"It’s used for water sprinkling, in other words it’s used for spraying of water and chemicals both in...","Lagos, Lagos Island (Eko)",20000
Grinding Machine With (6.5hp),"We make all kinds of cakes... birthday cake, surprise cake, child dedication cake, marriage cake,...","Lagos, Lagos Island (Eko)",16000
Global Farm Machinery,Dual Power (Electric & Battery) Incubator for hatching eggs into hen. Incubator can hatch up to 192...,"Kaduna, Chikun",1500000
Madurasa Honey,This chemical is used to kill all types of fire,"Lagos, Ibeju",56000
"Palm Oil, Undiluted One Without Keg",Pure line dutch clarias standard post fingerlings fingerlings and juvenile produced with MPPFGB very...,"Abuja, Wuse",8500
Chain Saw Quality,This to spray water into farm or plant,"Lagos, Ajah",200000
SKF TKSA 31 Laser Shaft Alignment System With Touchscreen,"Material: plastic, Capacity:16litre,  Handle: back pack. An efficient way to handle those bigger...","Lagos, Ojo",850000
Fogging Machine,15kg Vitali Margarine Butter,"Oyo, Ibadan",1500
Wet Mixer 500kg,"This water rain gun,his to sprinkle water into a big farm to contain mush water in the farm,also...","Abuja, Gwarinpa",61000
Ehuru (Native Pepper Soup Spice) 100g,It is use for many purpose,"Lagos, Lagos Island (Eko)",40000
Sweet Potatoes Garri,"Mini combine rice harvester # Price : 10,000,000","Lagos, Lagos Island (Eko)",210000
Sprayer Pump Brass,Used for drilling of holes which is useful in the area of plantain Transplanting (plantation).,Lagos,23000
Pecan Nuts (250g ),Quality flow meter for gases and other liquids,"Lagos, Ojo",110000
Small Oil Press,"10 KG Cap Rice Long Grain Rice Available @ 22,200","Oyo, Oluyole",95000
Maize Thresher,Wet and dry portable grinding Machine with electric motor,"Kaduna, Chikun",16000000
Sierra Tequila,"13,500 per KILO or 7,500 per 500gram","Lagos, Lagos Island (Eko)",1000
Construction Head Pan,"Natural spice, promotes digestion, reduces food-borne illn*sses","Kaduna, Kaduna / Kaduna State",1000000
Soil Tiller,Earth auger machine original,"Lagos, Isolo",58500
Full Moon Red Wine,Motivo is a nice semi sweet red wine,"Lagos, Lagos Island (Eko)",13000
Nigeria Parboiled Rice,Available in piece or Ctn,"Lagos, Ojo",850000
Pellet Machine,Mini power Tiller Machine,"Lagos, Ojo",150000
Sesame Seed 100g,Green tea is a type of tea made from the leaves of the Camellia sinensis plant. It is often praised...,"Lagos, Ojo",750000
7hp Power Tiller,Petrol grinding engine sets and complete,"Oyo, Ibadan",1200000
Wadfow Wblp520 Cordless Blower 15000rpm 20v,Very good and reliable tested and trusted is In 4m x 50m very strong shade net,"Lagos, Ojo",6800
Mechanized Raingun,This is modern complete set of palm oil processing machine which comsist of; - Bunch Stripper - Palm...,"Lagos, Lagos Island (Eko)",700000
Hydrolic Automatic Crimping Machine,"The anti-insect net is used to prevent the entrance of insects, flies and beetles into the...","Kaduna, Chikun",18000000
Aani Golden Sella Basmati Rice X 5kg,Original drimeat is very good and nice,"Abuja, Lugbe District",60000
Chicken Cage That Contain 120birds 19weeks Layers,Chamdor non alcoholic drinks,"Lagos, Alimosho",380000
Ensure Plus,"• Specially used for chopping all kinds of plants, branches, fresh grass, rice & wheat straw,...","Abuja, Central Business District",450000
2in1 Cordless Manual Fumigation Machine,Call or WhatsApp for more info091*********,"Delta, Warri",95000
Beta Malt Drinks Can,Solar rechargeble sprayer  battery,"Lagos, Lagos Island (Eko)",13500
SAFE Knapsack Sprayer,Offtake Tape Valve with T Grommet,"Abuja, Pyakasa",15000
Seed Planter Iron,"Aspartame powder 25kg, is sweetener used in carbonated soft drink.  It is a low-calorie and intense...","Lagos, Lagos Island (Eko)",60000
Adult Beautiful Birthday Cake Available,"Power sprayer is used to spray insecticide and herbicide at the farm, around the house and at...","Lagos, Alimosho",35000
"Chain Saw Machine, Original","Pure Honey, A delightful and wholesome product Pure natural honey is a sweet and nutritious treat...","Oyo, Ibadan",320000
Manual Juice Squeezer Portable Aluminum Alloy Hand Pressure,Are you still struggling with getting Raw and unadulterated Honey? Don't just be saving recipe but...,"Lagos, Lagos Island (Eko)",18000
Cultivation Hole,"Amarula is a cream liqueur from South Africa. It is made with sugar, cream and the fruit of the...","Lagos, Ikeja",9000
20 Liters Fumigation Machine,For irrigation system pump,"Lagos, Ikorodu",18500
Grinding Machine With Gx390(13.5hp),Makes the bones healthy and strong. Aids digestion. Reduces weakness and fatigue. Boosts...,"Lagos, Surulere",295000
Knorr Chicken Bouillon,Banga soup spice is a carefully selected native spices that are guaranteed to make you a star in the...,"Abuja, Lugbe District",18500
Gearhead for Brush Cutter,Knapsack power sprayer,"Abuja, Bwari",10000
Pop Corn Machine,TRS Basmati Rice is harvested from the fields of Punjab and is perfect for a wide range of savoury...,"Lagos, Ojo",195000
Chamdor Red Grape,High-quality brand products,"Oyo, Ibadan",50000
Chain Saw Original Germany Standard,"Use for grinding dry and wet materials e.g tomatos, Beans among others","Abuja, Lugbe District",350000
5in1 Multifunctional Rice Milling Machine,"A rice reaper with tiller machine, 7.5hp","Abuja, Central Business District",1100000
Ghana Mircle Seed/India Parthia 50g,Dual Power (Electric & Battery) Incubator for hatching eggs into hen. Incubator can hatch up to 192...,"Lagos, Ojo",5000
Poultry Cage for Famers Layers Birds,This to water into a plant or farm,"Lagos, Lagos Island (Eko)",300000
Weishi Knapsack Fumigation Spray,It 4 step aluminum ladder and its good.,"Lagos, Ikeja",15500
"6"" 2 Falvor Beautiful Lady Cake",Machine can be used for weeding and tilling in the farm. It is powered by a gasoline engine. It also...,"Lagos, Isolo",15000
Safety Green Net,Chemical spraying or application is one of the production management practices performed in...,"Lagos, Ojo",25000
Communion Bread(Upper Room),"Fish mill,150kg per hour pelleting machine","Oyo, Ibadan",8500
Coconut Chocolate 12g by 50pcs,1000kg/hr crusher made from food grade stainless steel,"Lagos, Lagos Island (Eko)",700000
Kamby Local Foods Nsukka,"We make incubators using solar and nepa light and are automatic, it turns eggs and changes from...","Lagos, Amuwo-Odofin",150000
Bob Red Mill Steel Cut Oat,"Boric acid is often used as an antiseptic, insecticide, flame retardant, neutron absorber, or...","Lagos, Ojo",550000
High Quality Fumigation Chemicals(Different Types)Available,"This sprinkler,it useful to sprinkle water into a plant","Oyo, Ibadan",3500
Plant Grinding Machine For Animal Feed,"The anti-insect net is used to prevent the entrance of insects, flies and beetles into the...","Rivers, Port-Harcourt",700000
Farm Water Gun 30m,We deliver AKA tinko drameat and is very good and nice,"Plateau, Jos",27000
Food Grade Hydrogen Peroxide (35% Purity),Our cages are designed to provide a safe and healthy environment for your birds.  - Durable and...,"Lagos, Ojo",23000
"Drip Tape Double Emmiters (30,40,50)Cm, 0.3mm Thickness",12X100M Solarig 170gsm 220 microns,"Lagos, Orile",53000
Chaff Cutter Machine,Maize shelling machine,"Lagos, Lagos Island (Eko)",925000
Snacks Warmer Display,"Natural spice, promotes digestion, reduces food-borne illn*sses","Lagos, Lagos Island (Eko)",35000
"Polyworks,Or Power Twine",It is use for many purpose,"Abuja, Nyanya",8000
"Communion Wine, Bread and Cups",Upper room prefilled communion cups is made of pure wheat flour and water without additives. Baked...,"Lagos, Isolo",80000
"Driptape 0.2mm Thickness, 30cm Spacing, 2000mtrs",Fufeng brand of Xanthan gum is a top quality material which is common in salad dressings and sauces....,"Lagos, Alimosho",15000
Mist Blower Gun for Rechargeable Battery Sprayer,Organic substance from natural to improve all plants ability to exchange and transfer plant-nutrient...,"Plateau, Jos",7000
Belaire Rose With Light,White 1000 litres tank,"Lagos, Lagos Island (Eko)",450000
Fenugreek Powder,"Cashews are a type of seed with a sweet, mild flavor. They are a source of protein, as well as...","Lagos, Ikorodu",40000
Chain Link Coated 6ft Hight X 40ft Lenght 12meters,"This water rain gun,his to sprinkle water into a big farm to contain mush water in the farm,also...","Lagos, Lagos Island (Eko)",1400000
Wet And Dry Grinder Machine,"For kids who need therapeutic nutrition, PediaSure and other nutritional supplements allow kids...","Lagos, Ojo",10000
Jack Daniels Jennesees Whisky,This is modern complete set of palm oil processing machine which comsist of; - Bunch Stripper - Palm...,"Lagos, Lagos Island (Eko)",25000
Chaff Cutter,Earth auger machine original,"Lagos, Lagos Island (Eko)",210000
Aspero 2in1 Mini Tiller + Weeder,Original drimeat is very good and nice,"Plateau, Jos",455000
Silo for Grain Storage,3/4 x 50m black air hose,"Lagos, Lagos Island (Eko)",4000
Pure Natural Honey.,"5in1 Rice milling machine  Destones, separate broken rice, grinder and polish the rice","Lagos, Lagos Island (Eko)",155000
Gardeners Tools,"Hpk supermart organic seeds and seedlings – carefully selected for high yield, strong growth, and...","Abuja, Wuse",1000
